 * Serving Flask app "run.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
/usr/local/lib/python2.7/site-packages/flask_sqlalchemy/__init__.py:794: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/owl.carousel.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/aos.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/scrollax.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/animate.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/owl.carousel.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/magnific-popup.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/aos.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/ionicons.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/jquery.timepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/flaticon.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/icomoon.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:07] "GET /static/images/blr-map.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:08] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/animate.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/owl.carousel.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/magnific-popup.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/aos.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/ionicons.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/jquery.timepicker.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/flaticon.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/icomoon.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/owl.carousel.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/aos.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/scrollax.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/js/main.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/images/Anil.jpg HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2019 14:24:10] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:15] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:18] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:24:22] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:36] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:39] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:40] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:41] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:41] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:45] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:45] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:47] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:25:49] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:25:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:26:05] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:26:10] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:28:16] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:28:20] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:28:34] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:28:54] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:30:12] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:30:12] "GET /static/images/blr-map.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 14:30:15] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 14:57:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:00:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:01:08] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:04:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:22:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:34] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:24:35] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
